DATE,ITACPIALLMINMEI
1975-06-01,9.69534301185359
1975-07-01,9.73510130188462
1975-08-01,9.79757861479054
1975-09-01,9.8770951948526
1975-10-01,9.98501055350826
1975-11-01,10.0986056678826
1975-12-01,10.1781222479447
1976-01-01,10.2860376066004
1976-02-01,10.5132278353491
1976-03-01,10.7233787969418
1976-04-01,11.0073665828777
1976-05-01,11.2288770559078
1976-06-01,11.2799948573762
1976-07-01,11.3367924145634
1976-08-01,11.4617470403752
1976-09-01,11.6548587348117
1976-10-01,11.9899643222161
1976-11-01,12.2512330852772
1976-12-01,12.2647939753686
1977-01-01,12.4236349704243
1977-02-01,12.6618964630078
1977-03-01,12.8207374580634
1977-04-01,12.9795784531191
1977-05-01,13.1384194481747
1977-06-01,13.2291857310637
1977-07-01,13.3086062285915
1977-08-01,13.4334098675638
1977-09-01,13.6035966479806
1977-10-01,13.7851292137584
1977-11-01,13.9212786380919
1977-12-01,13.9893533502586
1978-01-01,14.1028112038698
1978-02-01,14.2503064135643
1978-03-01,14.4318389793422
1978-04-01,14.5679884036756
1978-05-01,14.704137828009
1978-06-01,14.8289414669813
1978-07-01,14.9197077498702
1978-08-01,14.9991282473981
1978-09-01,15.2373897399816
1978-10-01,15.373539164315
1978-11-01,15.5323801593706
1978-12-01,15.6118006568985
1979-01-01,15.8727537202042
1979-02-01,16.1110152127877
1979-03-01,16.3265851346489
1979-04-01,16.530809271149
1979-05-01,16.7123418369269
1979-06-01,16.8484912612603
1979-07-01,16.9959864709549
1979-08-01,17.200210607455
1979-09-01,17.6426962365386
1979-10-01,17.971724012011
1979-11-01,18.2213312899556
1979-12-01,18.550359065428
1980-01-01,19.1403399042062
1980-02-01,19.4693676796786
1980-03-01,19.6735918161787
1980-04-01,19.99127380629
1980-05-01,20.1954979427902
1980-06-01,20.377030508568
1980-07-01,20.7400956401238
1980-08-01,20.9897029180684
1980-09-01,21.4094969764298
1980-10-01,21.7725621079856
1980-11-01,22.2263935224303
1980-12-01,22.1772010335508
1981-01-01,22.5913411088739
